S17time_const,S17pm01_const,S17pm25_const,S17pm10_const,S17time_bike,S17pm01_bike,S17pm25_bike,S17pm10_bike,S17time_ped,S17pm01_ped,S17pm25_ped,S17pm10_ped,S04time_const,S04pm01_const,S04pm25_const,S04pm10_const,S04time_bike,S04pm01_bike,S04pm25_bike,S04pm10_bike,S04time_ped,S04pm01_ped,S04pm25_ped,S04pm10_ped,S02time_const,S02pm01_const,S02pm25_const,S02pm10_const,S02time_bike,S02pm01_bike,S02pm25_bike,S02pm10_bike,S02time_ped,S02pm01_ped,S02pm25_ped,S02pm10_ped,S16time_const,S16pm01_const,S16pm25_const,S16pm10_const,S16time_bike,S16pm01_bike,S16pm25_bike,S16pm10_bike,S16time_ped,S16pm01_ped,S16pm25_ped,S16pm10_ped,S##time_const,S##pm01_const,S##pm25_const,S##pm10_const,S##time_bike,S##pm01_bike,S##pm25_bike,S##pm10_bike,S##time_ped,S##pm01_ped,S##pm25_ped,S##pm10_ped
72318,13,29,29,5517,18,23,23,372348,10,16,19,43831,1,14,14,43831,1,14,14,25751,7,7,7,15533,3,4,5,11168,2,6,6,19512,0,1,1,4236,3,7,7,63076,9,13,14,11509,3,4,4,,,,,,,,,,,,
73354,15,25,26,6673,14,20,20,373860,17,26,26,45063,9,14,16,45063,9,14,16,27759,8,13,13,16442,3,4,5,12473,2,3,3,21030,1,1,1,5947,4,6,6,63921,9,13,14,12413,3,4,4,,,,,,,,,,,,
74265,16,25,27,7624,14,20,20,374701,17,26,26,45903,9,14,16,45903,9,14,16,28600,8,13,13,17283,3,4,5,13378,2,2,3,21872,1,1,1,6311,4,6,6,64761,9,13,14,13324,4,5,5,,,,,,,,,,,,
75176,16,25,26,8578,14,19,19,375612,17,25,25,46744,9,14,16,46744,9,14,16,29511,8,14,14,18124,3,4,5,14220,2,2,3,22784,1,1,1,7199,4,6,6,65671,9,13,14,14234,4,5,5,,,,,,,,,,,,
76088,16,25,27,9531,14,19,19,376495,17,25,25,47655,10,15,17,47655,10,15,17,30352,8,14,14,19055,4,5,5,15063,2,2,3,23625,1,1,1,8110,4,6,6,66511,9,13,14,15144,3,5,5,,,,,,,,,,,,
76998,17,26,28,10483,13,19,19,377377,17,25,25,48496,10,15,17,48496,10,15,17,31193,8,14,14,19888,4,5,5,15974,2,3,4,24467,1,1,1,9020,5,6,7,67351,9,13,14,16054,4,5,5,,,,,,,,,,,,
77910,17,25,27,11437,13,17,17,378289,17,25,26,49337,10,15,17,49337,10,15,17,32104,8,16,16,20721,4,5,5,16816,2,3,4,25397,1,1,1,9930,5,7,8,68262,9,13,13,16964,4,5,5,,,,,,,,,,,,
78821,17,26,27,12389,13,17,17,379129,17,25,26,50248,10,16,18,50248,10,16,18,33015,8,15,15,21630,3,5,5,17658,2,3,4,26230,1,1,1,10841,6,7,8,69102,9,13,13,17874,4,5,5,,,,,,,,,,,,
79732,18,26,27,13301,14,17,17,379971,17,25,26,51089,10,16,18,51089,10,16,18,33927,8,17,17,22472,3,5,5,18570,3,4,4,27063,1,1,1,11751,6,7,8,69943,9,13,13,18785,4,4,4,,,,,,,,,,,,
80644,17,28,30,14255,14,19,19,380882,16,24,26,51930,10,16,18,51930,10,16,18,34838,9,18,18,23313,3,5,5,19411,3,4,4,27974,1,2,2,12661,6,7,8,70853,9,12,12,19695,4,4,4,,,,,,,,,,,,
