S13time_fire,S13pm01_fire,S13pm25_fire,S13pm10_fire,S13time_lib,S13pm01_lib,S13pm25_lib,S13pm10_lib,S13time_martin,S13pm01_martin,S13pm25_martin,S13pm10_martin,S08time_fire,S08pm01_fire,S08pm25_fire,S08pm10_fire,S08time_lib,S08pm01_lib,S08pm25_lib,S08pm10_lib,S08time_martin,S08pm01_martin,S08pm25_martin,S08pm10_martin,S06time_fire,S06pm01_fire,S06pm25_fire,S06pm10_fire,S06time_lib,S06pm01_lib,S06pm25_lib,S06pm10_lib,S06time_martin,S06pm01_martin,S06pm25_martin,S06pm10_martin,S20time_fire,S20pm01_fire,S20pm25_fire,S20pm10_fire,S20time_lib,S20pm01_lib,S20pm25_lib,S20pm10_lib,S20time_martin,S20pm01_martin,S20pm25_martin,S20pm10_martin,S##time_fire,S##pm01_fire,S##pm25_fire,S##pm10_fire,S##time_lib,S##pm01_lib,S##pm25_lib,S##pm10_lib,S##time_martin,S##pm01_martin,S##pm25_martin,S##pm10_martin
2122,0,0,0,7814,7,8,8,17433,5,12,12,21372,14,27,28,2253,9,15,18,14365,6,14,21,14460,8,11,12,79806,9,11,15,519587,11,14,15,4056,2,3,3,4849,3,4,4,13288,2,4,4,,,,,,,,,,,,
3184,0,0,0,9525,11,17,20,18665,15,23,23,22218,14,27,28,3524,9,17,18,15620,16,26,29,15643,7,10,13,81150,8,11,15,520512,12,19,20,5791,2,4,4,6218,3,4,4,16449,3,5,6,,,,,,,,,,,,
4097,0,0,0,10479,12,18,21,19578,15,23,24,23130,15,27,28,4451,10,20,22,16530,16,26,28,16485,7,10,13,81992,8,11,15,521354,12,19,20,6634,2,4,4,7060,3,4,4,22006,2,4,5,,,,,,,,,,,,
5009,0,0,0,11435,11,17,21,20421,15,23,24,23970,15,27,28,5345,11,22,25,17458,15,24,25,17396,7,10,13,82835,8,11,15,522266,12,18,20,7546,2,4,4,7973,3,4,4,22850,2,4,5,,,,,,,,,,,,
5921,0,0,0,12390,12,18,21,21264,15,23,24,24811,15,27,28,6275,11,21,23,18291,15,24,25,18238,7,10,13,83746,7,11,15,523108,12,18,20,8389,2,4,4,8815,3,4,4,23762,2,4,5,,,,,,,,,,,,
22033,0,0,0,13345,12,20,23,22178,12,22,24,25721,15,27,27,7165,13,21,23,21585,15,24,25,19080,7,10,13,84589,7,11,15,523951,12,18,20,9233,2,4,4,9658,3,4,4,24605,2,4,5,,,,,,,,,,,,
24562,0,0,0,14301,12,20,23,23021,12,22,24,26562,15,27,27,8077,11,22,23,22625,14,23,24,19992,7,10,13,85431,7,11,15,524863,12,19,20,10145,2,3,3,10570,3,4,4,25448,2,4,5,,,,,,,,,,,,
25243,0,0,0,15256,12,20,23,23906,12,22,24,27403,15,27,27,8987,13,22,24,23467,14,23,24,20834,7,10,13,86343,8,11,15,525705,12,19,20,10988,2,3,3,11413,3,4,4,26360,2,3,4,,,,,,,,,,,,
26156,0,0,0,16210,11,20,24,24819,11,22,23,28314,15,26,26,9899,13,23,23,24307,14,23,24,21676,7,10,13,87185,8,11,15,526546,12,19,20,11831,2,3,3,12255,3,4,4,27203,2,3,4,,,,,,,,,,,,
26997,0,0,0,17166,12,21,25,25704,11,22,23,29155,15,26,26,10809,13,22,22,25218,13,23,24,22588,8,10,13,88028,8,11,15,527459,12,19,22,12743,2,3,4,13168,3,4,4,28046,2,3,4,,,,,,,,,,,,
27840,0,0,0,18121,12,20,25,26589,11,21,23,29996,15,26,26,11719,13,22,22,26058,13,23,24,23429,8,10,13,88940,7,10,16,528301,12,19,22,13586,2,3,4,14010,3,4,4,28958,2,3,4,,,,,,,,,,,,
28752,0,0,0,19076,11,19,23,27544,11,20,21,30907,15,25,25,12631,13,22,22,26899,13,23,24,24270,8,10,13,89782,7,10,16,529142,12,19,22,14429,2,3,4,14853,3,4,4,29802,2,3,4,,,,,,,,,,,,
